Run,Locus,Sample_name,Sample_label,sample,tech,EGC_ID,site_month
3,BF3,9,WACO21-134-c,WACO21-134,3,WACO.2021.134,Long Beach-May
3,BF3,10,WACO21-601-a,WACO21-601,1,WACO.2021.601,Oysterville-Sep
3,BF3,11,WACO21-601-b,WACO21-601,2,WACO.2021.601,Oysterville-Sep
3,BF3,13,WACO21-603-a,WACO21-603,1,WACO.2021.603,Oysterville-Sep
3,BF3,14,WACO21-603-b,WACO21-603,2,WACO.2021.603,Oysterville-Sep
3,BF3,15,WACO21-603-c,WACO21-603,3,WACO.2021.603,Oysterville-Sep
3,BF3,16,WACO21-604-a,WACO21-604,1,WACO.2021.604,Oysterville-Sep
3,BF3,17,WACO21-604-b,WACO21-604,2,WACO.2021.604,Oysterville-Sep
3,BF3,18,WACO21-604-c,WACO21-604,3,WACO.2021.604,Oysterville-Sep
3,BF3,20,WACO21-610-b,WACO21-610,2,WACO.2021.610,Oysterville-Sep
3,BF3,21,WACO21-610-c,WACO21-610,3,WACO.2021.610,Oysterville-Sep
3,BF3,28,WACO21-099-a,WACO21-099,1,WACO.2021.099,Oysterville-May
3,BF3,29,WACO21-099-b,WACO21-099,2,WACO.2021.099,Oysterville-May
3,BF3,30,WACO21-099-c,WACO21-099,3,WACO.2021.099,Oysterville-May
3,BF3,31,WACO21-114-a,WACO21-114,1,WACO.2021.114,Oysterville-May
3,BF3,32,WACO21-114-b,WACO21-114,2,WACO.2021.114,Oysterville-May
3,BF3,33,WACO21-114-c,WACO21-114,3,WACO.2021.114,Oysterville-May
3,BF3,34,WACO21-126-a,WACO21-126,1,WACO.2021.126,Long Beach-May
3,BF3,35,WACO21-126-b,WACO21-126,2,WACO.2021.126,Long Beach-May
3,BF3,36,WACO21-126-c,WACO21-126,3,WACO.2021.126,Long Beach-May
3,BF3,37,WACO21-146-a,WACO21-146,1,WACO.2021.146,Long Beach-May
3,BF3,38,WACO21-146-b,WACO21-146,2,WACO.2021.146,Long Beach-May
3,BF3,39,WACO21-146-c,WACO21-146,3,WACO.2021.146,Long Beach-May
3,BF3,41,WACO21-106-a,WACO21-106,1,WACO.2021.106,Oysterville-May
3,BF3,43,WACO21-106-c,WACO21-106,3,WACO.2021.106,Oysterville-May
3,BF3,44,WACO21-098-a,WACO21-098,1,WACO.2021.098,Oysterville-May
3,BF3,45,WACO21-098-b,WACO21-098,2,WACO.2021.098,Oysterville-May
3,BF3,46,WACO21-098-c,WACO21-098,3,WACO.2021.098,Oysterville-May
3,BF3,49,WACO21-101-c,WACO21-101,3,WACO.2021.101,Oysterville-May
3,BF3,53,WACO21-115-a,WACO21-115,1,WACO.2021.115,Oysterville-May
3,BF3,54,WACO21-115-b,WACO21-115,2,WACO.2021.115,Oysterville-May
3,BF3,55,WACO21-115-c,WACO21-115,3,WACO.2021.115,Oysterville-May
3,BF3,58,WACO21-108-c,WACO21-108,3,WACO.2021.108,Oysterville-May
3,BF3,59,WACO21-128-a,WACO21-128,1,WACO.2021.128,Long Beach-May
3,BF3,62,WACO21-606-a,WACO21-606,1,WACO.2021.606,Oysterville-Sep
3,BF3,63,WACO21-606-b,WACO21-606,2,WACO.2021.606,Oysterville-Sep
3,BF3,64,WACO21-606-c,WACO21-606,3,WACO.2021.606,Oysterville-Sep
3,BF3,66,WACO21-613-b,WACO21-613,2,WACO.2021.613,Oysterville-Sep
3,BF3,71,WACO21-618-a,WACO21-618,1,WACO.2021.618,Oysterville-Sep
3,BF3,72,WACO21-618-b,WACO21-618,2,WACO.2021.618,Oysterville-Sep
3,BF3,73,WACO21-618-c,WACO21-618,3,WACO.2021.618,Oysterville-Sep
3,BF3,74,WACO21-617-a,WACO21-617,1,WACO.2021.617,Oysterville-Sep
3,BF3,75,WACO21-617-b,WACO21-617,2,WACO.2021.617,Oysterville-Sep
3,BF3,76,WACO21-617-c,WACO21-617,3,WACO.2021.617,Oysterville-Sep
3,BF3,77,WACO21-600-a,WACO21-600,1,WACO.2021.600,Oysterville-Sep
3,BF3,78,WACO21-600-b,WACO21-600,2,WACO.2021.600,Oysterville-Sep
3,BF3,79,WACO21-600-c,WACO21-600,3,WACO.2021.600,Oysterville-Sep
3,BF3,81,WACO21-607-b,WACO21-607,2,WACO.2021.607,Oysterville-Sep
3,BF3,82,WACO21-607-c,WACO21-607,3,WACO.2021.607,Oysterville-Sep
NA,BF3,97,MC-B-a,MC-B,1,NA,NA
NA,BF3,98,MC-B-b,MC-B,2,NA,NA
NA,BF3,99,MC-B-c,MC-B,3,NA,NA
NA,BF3,100,MC-E-a,MC-E,1,NA,NA
NA,BF3,101,MC-E-b,MC-E,2,NA,NA
NA,BF3,102,MC-E-c,MC-E,3,NA,NA
